"","obsID","predicted_prob","predicted_prob_lower","predicted_prob_upper","Policy","cost_con","when_1","when_2","when_3","how_1","how_2","how_3","type_1","type_2","type_3","type_4","edu_1","edu_2","edu_3","clin_1","clin_2","clin_3","wait_1","wait_2","wait_3","asc"
"2.161",50,0.198466464943536,0.17373630792509,0.227949131219642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.16",51,0.822044653280055,0.79454552068112,0.845246389328042,3,480,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.161",51,0.177955346719945,0.154753610671958,0.20545447931888,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.17",52,0.761429914303739,0.727911159679836,0.790704844796545,1,510,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.171",52,0.238570085696261,0.209295155203455,0.272088840320164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.17",53,0.795610246858381,0.765283764546065,0.821023724906444,2,510,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.171",53,0.204389753141619,0.178976275093556,0.234716235453935,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.17",54,0.816480834768038,0.788247641055838,0.840304380156534,3,510,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.171",54,0.183519165231962,0.159695619843466,0.211752358944162,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.18",55,0.755066746900504,0.720744508034527,0.785056592505695,1,540,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.181",55,0.244933253099496,0.214943407494305,0.279255491965473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.18",56,0.789580796759138,0.7583707007302,0.815549081448431,2,540,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.181",56,0.210419203240862,0.184450918551569,0.2416292992698,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.18",57,0.810783781998939,0.781923601332392,0.835150201081955,3,540,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.181",57,0.189216218001061,0.164849798918045,0.218076398667608,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.19",58,0.748616622980892,0.713428132859012,0.779190846837881,1,570,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.191",58,0.251383377019108,0.220809153162119,0.286571867140988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.19",59,0.783446271566813,0.751266550832887,0.810001867918871,2,570,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.191",59,0.216553728433187,0.189998132081129,0.248733449167113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.19",60,0.804963344048687,0.775344188787569,0.829942200748348,3,570,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.191",60,0.195036655951313,0.170057799251652,0.224655811212431,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.20",61,0.742095742230861,0.705967081012285,0.773329748417764,1,600,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.201",61,0.257904257769139,0.226670251582236,0.294032918987715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.20",62,0.777210414478889,0.744208185854287,0.804476928028038,2,600,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.201",62,0.222789585521112,0.195523071971962,0.255791814145713,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.20",63,0.799032615334992,0.768903100822591,0.824615406438584,3,600,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.201",63,0.200967384665008,0.175384593561416,0.231096899177409,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.21",64,0.735522228003494,0.698494401643289,0.767398482447182,1,630,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.211",64,0.264477771996506,0.232601517552818,0.301505598356711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.21",65,0.770880579648511,0.737008354584999,0.799007180602696,2,630,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.211",65,0.229119420351489,0.200992819397304,0.262991645415001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.21",66,0.793007516248962,0.762113658062165,0.81922898569238,3,630,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.211",66,0.206992483751037,0.18077101430762,0.237886341937835,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.22",67,0.728913659885048,0.691182378302651,0.761488593465449,1,660,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.221",67,0.271086340114952,0.238511406534551,0.308817621697349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.22",68,0.764467262403295,0.729785290609276,0.793476871878194,2,660,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.221",68,0.235532737596705,0.206523128121806,0.270214709390724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.22",69,0.786906181600177,0.755278494957151,0.813875132851519,3,660,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.221",69,0.213093818399823,0.186124867148481,0.244721505042849,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.23",70,0.722285737886001,0.6837288706809,0.75556988042402,1,690,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.231",70,0.277714262113999,0.24443011957598,0.3162711293191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.23",71,0.757982887386869,0.722396271771971,0.787643185969255,2,690,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.231",71,0.242017112613131,0.212356814030745,0.277603728228029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.23",72,0.780747828726232,0.748525878251441,0.808223689328729,3,690,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.231",72,0.219252171273768,0.191776310671271,0.251474121748559,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.24",73,0.715651998444825,0.676488962873948,0.749515341187967,1,720,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.241",73,0.284348001555175,0.250484658812033,0.323511037126052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.24",74,0.751440751338385,0.714956155961063,0.781612547838558,2,720,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.241",74,0.248559248661615,0.218387452161442,0.285043844038937,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.24",75,0.774550941946245,0.74145705767571,0.802686841319646,3,720,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.241",75,0.225449058053755,0.197313158680354,0.25854294232429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.25",76,0.709023834717404,0.669108733856328,0.743509054599828,1,750,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.251",76,0.290976165282596,0.256490945400172,0.330891266143672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.25",77,0.74485440045239,0.707963322296886,0.775685540585204,2,750,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.251",77,0.25514559954761,0.224314459414796,0.292036677703114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.25",78,0.76833120007676,0.734655893001256,0.797128948671203,3,750,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.251",78,0.23166879992324,0.202871051328797,0.265344106998744,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.26",79,0.702410199623027,0.661804756597484,0.737427722059665,1,780,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.261",79,0.297589800376973,0.262572277940335,0.338195243402516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
