"","Policy","predicted_uptake","predicted_uptake_lower","predicted_uptake_upper","WTP","Estimated_eligible_population","Budget_impact","Budget_impact_low","Budget_impact_high"
"1",1,0.161274454974328,0.130179552600389,0.198129641118964,0,NA,NA,NA,NA
"2",2,0.295897363279591,0.262242968258839,0.334810198562347,0,NA,NA,NA,NA
"3",3,0.463800753782405,0.413500646639886,0.507920884382082,0,NA,NA,NA,NA
"...4",4,0.0790274279636766,0.0633312214183255,0.0944769386324835,0,NA,NA,NA,NA
"1.1",1,0.1611246397066,0.130057801411297,0.197955188948303,10,NA,NA,NA,NA
"2.1",2,0.295610416879396,0.261986987854843,0.33450528818105,10,NA,NA,NA,NA
"3.1",3,0.463397529387392,0.413158622164511,0.507507329162455,10,NA,NA,NA,NA
"...8",4,0.0798674140266116,0.0640994030417926,0.0953711302546947,0,NA,NA,NA,NA
"1.2",1,0.160972185323809,0.129933716645615,0.197777379201202,20,NA,NA,NA,NA
"2.2",2,0.295317985649461,0.261697428971943,0.334216490866884,20,NA,NA,NA,NA
"3.2",3,0.462987407517491,0.412811867879139,0.507074146948504,20,NA,NA,NA,NA
"...12",4,0.0807224215092399,0.0648752974357569,0.0962414969629441,0,NA,NA,NA,NA
"1.3",1,0.160817046688632,0.129808039804552,0.197596140329174,30,NA,NA,NA,NA
"2.3",2,0.295019998428262,0.261409412227021,0.333889225003245,30,NA,NA,NA,NA
"3.3",3,0.462570322189675,0.412461453108109,0.506596311487936,30,NA,NA,NA,NA
"...16",4,0.0815926326934316,0.0656719911024061,0.0972355779679726,0,NA,NA,NA,NA
"1.4",1,0.160659180206039,0.129660675665475,0.197411401754308,40,NA,NA,NA,NA
"2.4",2,0.294716389268436,0.2611216970893,0.333548192516653,40,NA,NA,NA,NA
"3.4",3,0.462146206539706,0.412037685592599,0.506160848969524,40,NA,NA,NA,NA
"...20",4,0.0824782239858187,0.0665034604938201,0.0982018493597996,0,NA,NA,NA,NA
"1.5",1,0.16049854411118,0.129519682520903,0.197223094425865,50,NA,NA,NA,NA
"2.5",2,0.294407097850641,0.260859806230963,0.333171270240227,50,NA,NA,NA,NA
"3.5",3,0.461714992858679,0.411599359726484,0.505720703448202,50,NA,NA,NA,NA
"...24",4,0.0833793651795005,0.0673285151051148,0.0991284605572208,0,NA,NA,NA,NA
"1.6",1,0.160335098672942,0.129383205118043,0.197031049100553,60,NA,NA,NA,NA
"2.6",2,0.294092069721752,0.260583356760036,0.332800844942541,60,NA,NA,NA,NA
"3.6",3,0.461276612596086,0.411149143040513,0.505243023475822,60,NA,NA,NA,NA
