"","Policy","Copayment","individual_low","individual_high","couple_low","couple_high","Scenario","Budget_impact","ci_low","ci_high"
"199","Basic screening",990,0,0,0,0,"Individual decision",0,0,0
"200","Basic screening",990,0,0,0,0,"Shared decision (p²)",0,0,0
"201","Pilot continuation",990,0,0,0,0,"Individual decision",0,0,0
"202","Pilot continuation",990,0,0,0,0,"Shared decision (p²)",0,0,0
"203","Utility-maximising",990,0,3225859.62355926,0,2474797.0021117,"Individual decision",140048.852336197,0,3225859.62355926
"204","Utility-maximising",990,0,3225859.62355926,0,2474797.0021117,"Shared decision (p²)",102838.171598967,0,2474797.0021117
"205","Basic screening",1020,0,0,0,0,"Individual decision",0,0,0
"206","Basic screening",1020,0,0,0,0,"Shared decision (p²)",0,0,0
"207","Pilot continuation",1020,0,0,0,0,"Individual decision",0,0,0
"208","Pilot continuation",1020,0,0,0,0,"Shared decision (p²)",0,0,0
"209","Utility-maximising",1020,0,2631608.43411417,0,2004528.89136484,"Individual decision",0,0,2631608.43411417
"210","Utility-maximising",1020,0,2631608.43411417,0,2004528.89136484,"Shared decision (p²)",0,0,2004528.89136484
"211","Basic screening",1050,0,0,0,0,"Individual decision",0,0,0
"212","Basic screening",1050,0,0,0,0,"Shared decision (p²)",0,0,0
"213","Pilot continuation",1050,0,0,0,0,"Individual decision",0,0,0
"214","Pilot continuation",1050,0,0,0,0,"Shared decision (p²)",0,0,0
"215","Utility-maximising",1050,0,2045319.95390357,0,1546600.04424578,"Individual decision",0,0,2045319.95390357
"216","Utility-maximising",1050,0,2045319.95390357,0,1546600.04424578,"Shared decision (p²)",0,0,1546600.04424578
"217","Basic screening",1080,0,0,0,0,"Individual decision",0,0,0
"218","Basic screening",1080,0,0,0,0,"Shared decision (p²)",0,0,0
"219","Pilot continuation",1080,0,0,0,0,"Individual decision",0,0,0
"220","Pilot continuation",1080,0,0,0,0,"Shared decision (p²)",0,0,0
"221","Utility-maximising",1080,0,1467410.58023036,0,1101508.989625,"Individual decision",0,0,1467410.58023036
"222","Utility-maximising",1080,0,1467410.58023036,0,1101508.989625,"Shared decision (p²)",0,0,1101508.989625
"223","Basic screening",1110,0,0,0,0,"Individual decision",0,0,0
"224","Basic screening",1110,0,0,0,0,"Shared decision (p²)",0,0,0
"225","Pilot continuation",1110,0,0,0,0,"Individual decision",0,0,0
"226","Pilot continuation",1110,0,0,0,0,"Shared decision (p²)",0,0,0
"227","Utility-maximising",1110,0,897944.178864851,0,669210.526803414,"Individual decision",0,0,897944.178864851
"228","Utility-maximising",1110,0,897944.178864851,0,669210.526803414,"Shared decision (p²)",0,0,669210.526803414
"229","Basic screening",1140,0,0,0,0,"Individual decision",0,0,0
